"area","epiweek","alpha_Rt","background_Rt","generation_time","alpha_cases_corrected","background_cases_corrected","alpha_proportion","temperature","relative_humidity","specific_humidity","uv","precipitation","Pop_density","Population","stringency","gov_response","containment_health","economic_support"
"Cornwall and the Isles of Scilly",46,1.01,0.64,"original",2.87140462784804,158.128595372152,0.0178348113530934,11.6919787270682,84.8208367483956,0.00723593562309231,17679.2034040179,0.000178327590479707,162.641036987305,571802,77.78,74.48,70.83,100
"Cornwall and the Isles of Scilly",47,0.87,0.56,"original",6.07282952644641,72.9271704735536,0.0768712598284355,9.86086852209909,85.341068812779,0.00654739400904093,11042.1535993304,6.31488740379739e-05,162.641036987305,571802,75.3971428571429,73.1428571428571,69.3042857142857,100
"Cornwall and the Isles of Scilly",48,1.15,0.75,"original",6.11910380857559,31.8808961914244,0.161029047594095,9.23929037366595,84.730833871024,0.00621135053890092,15482.7022879464,6.67349866685691e-05,162.641036987305,571802,75,72.92,69.05,100
"Cornwall and the Isles of Scilly",49,1.82,1.19,"original",1.74087767098573,12.2591223290143,0.12434840507041,7.65345784596034,81.5841576712472,0.00518428820318409,14020.1134207589,0.000140445074261411,162.641036987305,571802,70.7657142857143,68.7514285714286,64.2842857142857,100
"Cornwall and the Isles of Scilly",50,2.49,1.64,"original",2.80141645110279,15.1985835488972,0.155634247283488,8.94977378845215,83.6297770908901,0.00576947137181248,11241.9253627232,0.000239284190294191,162.641036987305,571802,67.59,69.8842857142857,65.5771428571429,100
"Cornwall and the Isles of Scilly",51,2.68,1.75,"original",22.2783174611371,52.7216825388629,0.297044232815162,10.274482182094,84.0130288260324,0.00643931735040886,11606.6086251395,0.000346673673318167,162.641036987305,571802,68.65,71.0142857142857,66.87,100
"Cornwall and the Isles of Scilly",52,2.86,1.76,"original",75.918173923483,105.081826076517,0.419437424991619,8.5158429145813,85.5484357561384,0.00605386831531567,8895.09378487723,0.000262098951160234,162.641036987305,571802,72.6857142857143,73.28,69.4642857142857,100
"Cornwall and the Isles of Scilly",53,1.15,0.64,"original",171.942201191248,179.057798808752,0.489863821057687,4.37768316268921,83.9402542114258,0.00422682679657425,12921.7057756696,0.000119044860444514,162.641036987305,571802,74.07,74.06,70.36,100
"Cornwall and the Isles of Scilly",54,0.78,0.4,"original",270.279244668568,167.720755331432,0.61707590106979,2.39530171666827,81.8260432652065,0.00369534199126065,15186.6558314732,1.14940693752682e-05,162.641036987305,571802,85.9757142857143,82.5457142857143,80.0542857142857,100
"Cornwall and the Isles of Scilly",55,0.67,0.34,"original",255.702440953508,84.2975590464925,0.752066002804434,7.4251869065421,88.1460723876953,0.00572555598669818,13688.2098214286,9.23632598122432e-05,162.641036987305,571802,87.96,83.96,81.67,100
"Coventry and Warwickshire",45,1.62,1.12,"original",3.82564262741186,1591.17435737259,0.00239852202345571,8.11262478147234,84.5991428920201,0.00578641073246087,22032.0362723214,7.44001562712323e-05,544.5615234375,949454,72.62,71.5785714285714,67.5171428571429,100
"Coventry and Warwickshire",46,1.29,0.72,"original",9.62665210914207,2013.37334789086,0.00475860213007517,10.8403100967407,87.2949458530971,0.00697613327897021,14307.6474609375,0.000119569782327744,544.5615234375,949454,77.78,74.48,70.83,100
"Coventry and Warwickshire",47,1.53,0.71,"original",15.4228631912531,1620.57713680875,0.00942717798976351,9.04359109061105,84.3782185145787,0.00615335994267038,10333.6961495536,3.48472305274429e-05,544.5615234375,949454,75.3971428571429,73.1428571428571,69.3042857142857,100
"Coventry and Warwickshire",48,2.01,0.82,"original",11.3972257673889,1239.60277423261,0.00911049222013498,6.67400176184518,91.508670261928,0.00562802915062223,10369.1187220982,4.02810811855098e-05,544.5615234375,949454,75,72.92,69.05,100
"Coventry and Warwickshire",49,2.7,1.15,"original",84.2728274365121,850.727172563488,0.0901313662422589,4.89703934533255,90.9048919677734,0.00468272403148668,8116.33576311384,0.000141872629943204,544.5615234375,949454,70.7657142857143,68.7514285714286,64.2842857142857,100
"Coventry and Warwickshire",50,2.15,1.05,"original",187.925073618451,1010.07492638155,0.156865670800042,6.35766727583749,92.9495609828404,0.00521871414301651,7832.80691964286,0.000113409377458343,544.5615234375,949454,67.59,69.8842857142857,65.5771428571429,100
"Coventry and Warwickshire",51,1.7,0.91,"original",348.85052481306,885.14947518694,0.282698966623225,9.10082626342773,87.5626743861607,0.00607973616570234,9162.037109375,8.72513317834286e-05,544.5615234375,949454,68.65,71.0142857142857,66.87,100
"Coventry and Warwickshire",52,2.17,1.15,"original",772.983004227794,872.016995772206,0.469898482813249,5.93884659664972,88.0286690848214,0.0051267299401973,9095.28410993304,0.000234110868664824,544.5615234375,949454,72.6857142857143,73.28,69.4642857142857,100
"Coventry and Warwickshire",53,1.09,0.68,"original",1941.56086936835,1388.43913063165,0.583051312122628,1.8770384149892,92.621206011091,0.00375674072919147,10215.3549107143,3.62266303426395e-05,544.5615234375,949454,74.07,74.06,70.36,100
